"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.445"
"x= 46.28, f(x) = 5.9904, t(x) = 5.16351, Yintra = 3.40864, Yextra = 8.57216, Igx = 46.725"
"x= 47.17, f(x) = 5.9784, t(x) = 5.09513, Yintra = 3.43083, Yextra = 8.52597, Igx = 47.615"
"x= 48.06, f(x) = 5.9616, t(x) = 5.02475, Yintra = 3.44922, Yextra = 8.47398, Igx = 48.505"
"x= 48.95, f(x) = 5.94, t(x) = 4.95243, Yintra = 3.46379, Yextra = 8.41621, Igx = 49.395"
"x= 49.84, f(x) = 5.9136, t(x) = 4.87821, Yintra = 3.4745, Yextra = 8.3527, Igx = 50.285"
"x= 50.73, f(x) = 5.8824, t(x) = 4.80215, Yintra = 3.48133, Yextra = 8.28347, Igx = 51.175"
"x= 51.62, f(x) = 5.8464, t(x) = 4.72429, Yintra = 3.48426, Yextra = 8.20854, Igx = 52.065"
"x= 52.51, f(x) = 5.8056, t(x) = 4.64468, Yintra = 3.48326, Yextra = 8.12794, Igx = 52.955"
"x= 53.4, f(x) = 5.76, t(x) = 4.56337, Yintra = 3.47832, Yextra = 8.04168, Igx = 53.845"
"x= 54.29, f(x) = 5.7096, t(x) = 4.48039, Yintra = 3.46941, Yextra = 7.94979, Igx = 54.735"
"x= 55.18, f(x) = 5.6544, t(x) = 4.39578, Yintra = 3.45651, Yextra = 7.85229, Igx = 55.625"
"x= 56.07, f(x) = 5.5944, t(x) = 4.30957, Yintra = 3.43962, Yextra = 7.74918, Igx = 56.515"
"x= 56.96, f(x) = 5.5296, t(x) = 4.2218, Yintra = 3.4187, Yextra = 7.6405, Igx = 57.405"
"x= 57.85, f(x) = 5.46, t(x) = 4.1325, Yintra = 3.39375, Yextra = 7.52625, Igx = 58.295"
"x= 58.74, f(x) = 5.3856, t(x) = 4.04169, Yintra = 3.36476, Yextra = 7.40645, Igx = 59.185"
"x= 59.63, f(x) = 5.3064, t(x) = 3.9494, Yintra = 3.3317, Yextra = 7.2811, Igx = 60.075"
"x= 60.52, f(x) = 5.2224, t(x) = 3.85567, Yintra = 3.29457, Yextra = 7.15023, Igx = 60.965"
"x= 61.41, f(x) = 5.1336, t(x) = 3.76049, Yintra = 3.25335, Yextra = 7.01385, Igx = 61.855"
"x= 62.3, f(x) = 5.04, t(x) = 3.66391, Yintra = 3.20805, Yextra = 6.87195, Igx = 62.745"
"x= 63.19, f(x) = 4.9416, t(x) = 3.56592, Yintra = 3.15864, Yextra = 6.72456, Igx = 63.635"
"x= 64.08, f(x) = 4.8384, t(x) = 3.46656, Yintra = 3.10512, Yextra = 6.57168, Igx = 64.525"
"x= 64.97, f(x) = 4.7304, t(x) = 3.36583, Yintra = 3.04749, Yextra = 6.41331, Igx = 65.415"
"x= 65.86, f(x) = 4.6176, t(x) = 3.26374, Yintra = 2.98573, Yextra = 6.24947, Igx = 66.305"
"x= 66.75, f(x) = 4.5, t(x) = 3.16031, Yintra = 2.91985, Yextra = 6.08015, Igx = 67.195"
"x= 67.64, f(x) = 4.3776, t(x) = 3.05553, Yintra = 2.84983, Yextra = 5.90537, Igx = 68.085"
"x= 68.53, f(x) = 4.2504, t(x) = 2.94942, Yintra = 2.77569, Yextra = 5.72511, Igx = 68.975"
"x= 69.42, f(x) = 4.1184, t(x) = 2.84198, Yintra = 2.69741, Yextra = 5.53939, Igx = 69.865"
"x= 70.31, f(x) = 3.9816, t(x) = 2.73322, Yintra = 2.61499, Yextra = 5.34821, Igx = 70.755"
"x= 71.2, f(x) = 3.84, t(x) = 2.62312, Yintra = 2.52844, Yextra = 5.15156, Igx = 71.645"
"x= 72.09, f(x) = 3.6936, t(x) = 2.51169, Yintra = 2.43776, Yextra = 4.94944, Igx = 72.535"
"x= 72.98, f(x) = 3.5424, t(x) = 2.39893, Yintra = 2.34294, Yextra = 4.74186, Igx = 73.425"
"x= 73.87, f(x) = 3.3864, t(x) = 2.28482, Yintra = 2.24399, Yextra = 4.52881, Igx = 74.315"
"x= 74.76, f(x) = 3.2256, t(x) = 2.16937, Yintra = 2.14091, Yextra = 4.31029, Igx = 75.205"
"x= 75.65, f(x) = 3.06, t(x) = 2.05256, Yintra = 2.03372, Yextra = 4.08628, Igx = 76.095"
"x= 76.54, f(x) = 2.8896, t(x) = 1.93439, Yintra = 1.92241, Yextra = 3.85679, Igx = 76.985"
"x= 77.43, f(x) = 2.7144, t(x) = 1.81483, Yintra = 1.80699, Yextra = 3.62181, Igx = 77.875"
"x= 78.32, f(x) = 2.5344, t(x) = 1.69388, Yintra = 1.68746, Yextra = 3.38134, Igx = 78.765"
"x= 79.21, f(x) = 2.3496, t(x) = 1.57151, Yintra = 1.56384, Yextra = 3.13536, Igx = 79.655"
"x= 80.1, f(x) = 2.16, t(x) = 1.44772, Yintra = 1.43614, Yextra = 2.88386, Igx = 80.545"
"x= 80.99, f(x) = 1.9656, t(x) = 1.32247, Yintra = 1.30436, Yextra = 2.62684, Igx = 81.435"
"x= 81.88, f(x) = 1.7664, t(x) = 1.19576, Yintra = 1.16852, Yextra = 2.36428, Igx = 82.325"
"x= 82.77, f(x) = 1.5624, t(x) = 1.06755, Yintra = 1.02862, Yextra = 2.09618, Igx = 83.215"
"x= 83.66, f(x) = 1.3536, t(x) = 0.937829, Yintra = 0.884686, Yextra = 1.82251, Igx = 84.105"
"x= 84.55, f(x) = 1.14, t(x) = 0.806559, Yintra = 0.73672, Yextra = 1.54328, Igx = 84.995"
"x= 85.44, f(x) = 0.9216, t(x) = 0.673717, Yintra = 0.584742, Yextra = 1.25846, Igx = 85.885"
"x= 86.33, f(x) = 0.6984, t(x) = 0.539272, Yintra = 0.428764, Yextra = 0.968036, Igx = 86.775"
"x= 87.22, f(x) = 0.4704, t(x) = 0.403193, Yintra = 0.268804, Yextra = 0.671996, Igx = 87.665"
"x= 88.11, f(x) = 0.2376, t(x) = 0.265447, Yintra = 0.104876, Yextra = 0.370324, Igx = 88.555"
