"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 6.85714"
"x= 13.7143, f(x) = 3.42857, t(x) = 6.14801, Yintra = 0.354566, Yextra = 6.50258, Igx = 20.5714"
"x= 27.4286, f(x) = 5.71429, t(x) = 6.99665, Yintra = 2.21596, Yextra = 9.21261, Igx = 34.2857"
"x= 41.1429, f(x) = 6.85714, t(x) = 6.63195, Yintra = 3.54117, Yextra = 10.1731, Igx = 48"
"x= 54.8571, f(x) = 6.85714, t(x) = 5.58965, Yintra = 4.06232, Yextra = 9.65197, Igx = 61.7143"
"x= 68.5714, f(x) = 5.71429, t(x) = 4.11076, Yintra = 3.65891, Yextra = 7.76967, Igx = 75.4286"
"x= 82.2857, f(x) = 3.42857, t(x) = 2.29634, Yintra = 2.2804, Yextra = 4.57674, Igx = 89.1429"
"x= 96, f(x) = 0.00000000000000310862, t(x) = 0.147, Yintra = -0.0735, Yextra = 0.0735, Igx = 102.857"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 6.85714"
"x= 13.7143, f(x) = 3.42857, t(x) = 6.14801, Yintra = 0.354566, Yextra = 6.50258, Igx = 20.5714"
"x= 27.4286, f(x) = 5.71429, t(x) = 6.99665, Yintra = 2.21596, Yextra = 9.21261, Igx = 34.2857"
"x= 41.1429, f(x) = 6.85714, t(x) = 6.63195, Yintra = 3.54117, Yextra = 10.1731, Igx = 48"
"x= 54.8571, f(x) = 6.85714, t(x) = 5.58965, Yintra = 4.06232, Yextra = 9.65197, Igx = 61.7143"
"x= 68.5714, f(x) = 5.71429, t(x) = 4.11076, Yintra = 3.65891, Yextra = 7.76967, Igx = 75.4286"
"x= 82.2857, f(x) = 3.42857, t(x) = 2.29634, Yintra = 2.2804, Yextra = 4.57674, Igx = 89.1429"
"x= 96, f(x) = 0.00000000000000310862, t(x) = 0.147, Yintra = -0.0735, Yextra = 0.0735, Igx = 102.857"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 6.85714"
"x= 13.7143, f(x) = 3.42857, t(x) = 6.14801, Yintra = 0.354566, Yextra = 6.50258, Igx = 20.5714"
"x= 27.4286, f(x) = 5.71429, t(x) = 6.99665, Yintra = 2.21596, Yextra = 9.21261, Igx = 34.2857"
"x= 41.1429, f(x) = 6.85714, t(x) = 6.63195, Yintra = 3.54117, Yextra = 10.1731, Igx = 48"
"x= 54.8571, f(x) = 6.85714, t(x) = 5.58965, Yintra = 4.06232, Yextra = 9.65197, Igx = 61.7143"
