"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.5, t(x) = 6.74054, Yintra = 0.12973, Yextra = 6.87027, Igx = 1.5"
"x= 2, f(x) = 6, t(x) = 7.92166, Yintra = 2.03917, Yextra = 9.96083, Igx = 2.5"
"x= 3, f(x) = 7.5, t(x) = 7.84838, Yintra = 3.57581, Yextra = 11.4242, Igx = 3.5"
"x= 4, f(x) = 8, t(x) = 7.0587, Yintra = 4.47065, Yextra = 11.5294, Igx = 4.5"
"x= 5, f(x) = 7.5, t(x) = 5.80383, Yintra = 4.59809, Yextra = 10.4019, Igx = 5.5"
"x= 6, f(x) = 6, t(x) = 4.21374, Yintra = 3.89313, Yextra = 8.10687, Igx = 6.5"
"x= 7, f(x) = 3.5, t(x) = 2.33937, Yintra = 2.33032, Yextra = 4.66968, Igx = 7.5"
"x= 8, f(x) = 0, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 8.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.5, t(x) = 6.74054, Yintra = 0.12973, Yextra = 6.87027, Igx = 1.5"
"x= 2, f(x) = 6, t(x) = 7.92166, Yintra = 2.03917, Yextra = 9.96083, Igx = 2.5"
"x= 3, f(x) = 7.5, t(x) = 7.84838, Yintra = 3.57581, Yextra = 11.4242, Igx = 3.5"
"x= 4, f(x) = 8, t(x) = 7.0587, Yintra = 4.47065, Yextra = 11.5294, Igx = 4.5"
"x= 5, f(x) = 7.5, t(x) = 5.80383, Yintra = 4.59809, Yextra = 10.4019, Igx = 5.5"
"x= 6, f(x) = 6, t(x) = 4.21374, Yintra = 3.89313, Yextra = 8.10687, Igx = 6.5"
"x= 7, f(x) = 3.5, t(x) = 2.33937, Yintra = 2.33032, Yextra = 4.66968, Igx = 7.5"
"x= 8, f(x) = 0, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 8.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.5, t(x) = 6.74054, Yintra = 0.12973, Yextra = 6.87027, Igx = 1.5"
"x= 2, f(x) = 6, t(x) = 7.92166, Yintra = 2.03917, Yextra = 9.96083, Igx = 2.5"
"x= 3, f(x) = 7.5, t(x) = 7.84838, Yintra = 3.57581, Yextra = 11.4242, Igx = 3.5"
"x= 4, f(x) = 8, t(x) = 7.0587, Yintra = 4.47065, Yextra = 11.5294, Igx = 4.5"
"x= 5, f(x) = 7.5, t(x) = 5.80383, Yintra = 4.59809, Yextra = 10.4019, Igx = 5.5"
"x= 6, f(x) = 6, t(x) = 4.21374, Yintra = 3.89313, Yextra = 8.10687, Igx = 6.5"
"x= 7, f(x) = 3.5, t(x) = 2.33937, Yintra = 2.33032, Yextra = 4.66968, Igx = 7.5"
"x= 8, f(x) = 0, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 8.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.5, t(x) = 6.74054, Yintra = 0.12973, Yextra = 6.87027, Igx = 1.5"
"x= 2, f(x) = 6, t(x) = 7.92166, Yintra = 2.03917, Yextra = 9.96083, Igx = 2.5"
"x= 3, f(x) = 7.5, t(x) = 7.84838, Yintra = 3.57581, Yextra = 11.4242, Igx = 3.5"
"x= 4, f(x) = 8, t(x) = 7.0587, Yintra = 4.47065, Yextra = 11.5294, Igx = 4.5"
"x= 5, f(x) = 7.5, t(x) = 5.80383, Yintra = 4.59809, Yextra = 10.4019, Igx = 5.5"
"x= 6, f(x) = 6, t(x) = 4.21374, Yintra = 3.89313, Yextra = 8.10687, Igx = 6.5"
"x= 7, f(x) = 3.5, t(x) = 2.33937, Yintra = 2.33032, Yextra = 4.66968, Igx = 7.5"
"x= 8, f(x) = 0, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 8.5"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.5, t(x) = 6.74054, Yintra = 0.12973, Yextra = 6.87027, Igx = 1.5"
"x= 2, f(x) = 6, t(x) = 7.92166, Yintra = 2.03917, Yextra = 9.96083, Igx = 2.5"
"x= 3, f(x) = 7.5, t(x) = 7.84838, Yintra = 3.57581, Yextra = 11.4242, Igx = 3.5"
"x= 4, f(x) = 8, t(x) = 7.0587, Yintra = 4.47065, Yextra = 11.5294, Igx = 4.5"
"x= 5, f(x) = 7.5, t(x) = 5.80383, Yintra = 4.59809, Yextra = 10.4019, Igx = 5.5"
"x= 6, f(x) = 6, t(x) = 4.21374, Yintra = 3.89313, Yextra = 8.10687, Igx = 6.5"
"x= 7, f(x) = 3.5, t(x) = 2.33937, Yintra = 2.33032, Yextra = 4.66968, Igx = 7.5"
"x= 8, f(x) = 0, t(x) = 0.168, Yintra = -0.084, Yextra = 0.084, Igx = 8.5"
