"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 5.5"
"x= 11, f(x) = 3.55556, t(x) = 7.29004, Yintra = -0.0894643, Yextra = 7.20058, Igx = 16.5"
"x= 22, f(x) = 6.22222, t(x) = 8.77225, Yintra = 1.8361, Yextra = 10.6083, Igx = 27.5"
"x= 33, f(x) = 8, t(x) = 8.96627, Yintra = 3.51687, Yextra = 12.4831, Igx = 38.5"
"x= 44, f(x) = 8.88889, t(x) = 8.41322, Yintra = 4.68228, Yextra = 13.0955, Igx = 49.5"
"x= 55, f(x) = 8.88889, t(x) = 7.36714, Yintra = 5.20532, Yextra = 12.5725, Igx = 60.5"
"x= 66, f(x) = 8, t(x) = 5.97049, Yintra = 5.01475, Yextra = 10.9852, Igx = 71.5"
"x= 77, f(x) = 6.22222, t(x) = 4.29896, Yintra = 4.07274, Yextra = 8.3717, Igx = 82.5"
"x= 88, f(x) = 3.55556, t(x) = 2.37777, Yintra = 2.36667, Yextra = 4.74444, Igx = 93.5"
"x= 99, f(x) = 0, t(x) = 0.189, Yintra = -0.0945, Yextra = 0.0945, Igx = 104.5"
