"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 55, f(x) = 198.198, t(x) = 431.743, Yintra = -17.6736, Yextra = 414.07, Igx = 55.5"
"x= 56, f(x) = 201.398, t(x) = 434.556, Yintra = -15.8798, Yextra = 418.676, Igx = 56.5"
"x= 57, f(x) = 204.584, t(x) = 437.317, Yintra = -14.0747, Yextra = 423.242, Igx = 57.5"
"x= 58, f(x) = 207.755, t(x) = 440.028, Yintra = -12.2588, Yextra = 427.769, Igx = 58.5"
"x= 59, f(x) = 210.912, t(x) = 442.689, Yintra = -10.4327, Yextra = 432.256, Igx = 59.5"
"x= 60, f(x) = 214.054, t(x) = 445.302, Yintra = -8.59687, Yextra = 436.705, Igx = 60.5"
"x= 61, f(x) = 217.182, t(x) = 447.868, Yintra = -6.75185, Yextra = 441.116, Igx = 61.5"
"x= 62, f(x) = 220.296, t(x) = 450.387, Yintra = -4.89812, Yextra = 445.489, Igx = 62.5"
"x= 63, f(x) = 223.395, t(x) = 452.861, Yintra = -3.03613, Yextra = 449.825, Igx = 63.5"
"x= 64, f(x) = 226.479, t(x) = 455.291, Yintra = -1.16633, Yextra = 454.125, Igx = 64.5"
"x= 65, f(x) = 229.55, t(x) = 457.677, Yintra = 0.710833, Yextra = 458.388, Igx = 65.5"
"x= 66, f(x) = 232.605, t(x) = 460.021, Yintra = 2.59496, Yextra = 462.616, Igx = 66.5"
"x= 67, f(x) = 235.647, t(x) = 462.322, Yintra = 4.48563, Yextra = 466.808, Igx = 67.5"
"x= 68, f(x) = 238.674, t(x) = 464.583, Yintra = 6.38248, Yextra = 470.965, Igx = 68.5"
"x= 69, f(x) = 241.686, t(x) = 466.803, Yintra = 8.28512, Yextra = 475.088, Igx = 69.5"
"x= 70, f(x) = 244.685, t(x) = 468.983, Yintra = 10.1932, Yextra = 479.176, Igx = 70.5"
"x= 71, f(x) = 247.668, t(x) = 471.124, Yintra = 12.1064, Yextra = 483.231, Igx = 71.5"
"x= 72, f(x) = 250.638, t(x) = 473.227, Yintra = 14.0243, Yextra = 487.251, Igx = 72.5"
"x= 73, f(x) = 253.593, t(x) = 475.292, Yintra = 15.9466, Yextra = 491.239, Igx = 73.5"
"x= 74, f(x) = 256.533, t(x) = 477.321, Yintra = 17.8731, Yextra = 495.194, Igx = 74.5"
"x= 75, f(x) = 259.459, t(x) = 479.312, Yintra = 19.8033, Yextra = 499.116, Igx = 75.5"
"x= 76, f(x) = 262.371, t(x) = 481.268, Yintra = 21.7371, Yextra = 503.005, Igx = 76.5"
"x= 77, f(x) = 265.268, t(x) = 483.189, Yintra = 23.674, Yextra = 506.863, Igx = 77.5"
"x= 78, f(x) = 268.151, t(x) = 485.075, Yintra = 25.6139, Yextra = 510.689, Igx = 78.5"
"x= 79, f(x) = 271.02, t(x) = 486.927, Yintra = 27.5565, Yextra = 514.483, Igx = 79.5"
"x= 80, f(x) = 273.874, t(x) = 488.745, Yintra = 29.5015, Yextra = 518.246, Igx = 80.5"
"x= 81, f(x) = 276.714, t(x) = 490.53, Yintra = 31.4487, Yextra = 521.978, Igx = 81.5"
"x= 82, f(x) = 279.539, t(x) = 492.282, Yintra = 33.3977, Yextra = 525.68, Igx = 82.5"
"x= 83, f(x) = 282.35, t(x) = 494.002, Yintra = 35.3484, Yextra = 529.351, Igx = 83.5"
"x= 84, f(x) = 285.146, t(x) = 495.691, Yintra = 37.3006, Yextra = 532.991, Igx = 84.5"
"x= 85, f(x) = 287.928, t(x) = 497.348, Yintra = 39.2539, Yextra = 536.602, Igx = 85.5"
"x= 86, f(x) = 290.695, t(x) = 498.974, Yintra = 41.2083, Yextra = 540.183, Igx = 86.5"
"x= 87, f(x) = 293.449, t(x) = 500.571, Yintra = 43.1633, Yextra = 543.734, Igx = 87.5"
"x= 88, f(x) = 296.187, t(x) = 502.137, Yintra = 45.119, Yextra = 547.256, Igx = 88.5"
"x= 89, f(x) = 298.912, t(x) = 503.673, Yintra = 47.075, Yextra = 550.748, Igx = 89.5"
"x= 90, f(x) = 301.622, t(x) = 505.181, Yintra = 49.0312, Yextra = 554.212, Igx = 90.5"
"x= 91, f(x) = 304.317, t(x) = 506.66, Yintra = 50.9873, Yextra = 557.647, Igx = 91.5"
"x= 92, f(x) = 306.998, t(x) = 508.11, Yintra = 52.9432, Yextra = 561.053, Igx = 92.5"
"x= 93, f(x) = 309.665, t(x) = 509.532, Yintra = 54.8986, Yextra = 564.431, Igx = 93.5"
"x= 94, f(x) = 312.317, t(x) = 510.927, Yintra = 56.8535, Yextra = 567.781, Igx = 94.5"
"x= 95, f(x) = 314.955, t(x) = 512.295, Yintra = 58.8076, Yextra = 571.102, Igx = 95.5"
"x= 96, f(x) = 317.578, t(x) = 513.635, Yintra = 60.7607, Yextra = 574.396, Igx = 96.5"
"x= 97, f(x) = 320.187, t(x) = 514.949, Yintra = 62.7128, Yextra = 577.662, Igx = 97.5"
"x= 98, f(x) = 322.782, t(x) = 516.237, Yintra = 64.6635, Yextra = 580.9, Igx = 98.5"
"x= 99, f(x) = 325.362, t(x) = 517.499, Yintra = 66.6128, Yextra = 584.111, Igx = 99.5"
"x= 100, f(x) = 327.928, t(x) = 518.735, Yintra = 68.5606, Yextra = 587.295, Igx = 100.5"
"x= 101, f(x) = 330.479, t(x) = 519.945, Yintra = 70.5065, Yextra = 590.452, Igx = 101.5"
"x= 102, f(x) = 333.016, t(x) = 521.131, Yintra = 72.4506, Yextra = 593.582, Igx = 102.5"
"x= 103, f(x) = 335.539, t(x) = 522.292, Yintra = 74.3927, Yextra = 596.685, Igx = 103.5"
"x= 104, f(x) = 338.047, t(x) = 523.429, Yintra = 76.3325, Yextra = 599.761, Igx = 104.5"
"x= 105, f(x) = 340.541, t(x) = 524.541, Yintra = 78.27, Yextra = 602.811, Igx = 105.5"
"x= 106, f(x) = 343.02, t(x) = 525.63, Yintra = 80.2051, Yextra = 605.835, Igx = 106.5"
"x= 107, f(x) = 345.485, t(x) = 526.694, Yintra = 82.1375, Yextra = 608.832, Igx = 107.5"
"x= 108, f(x) = 347.935, t(x) = 527.736, Yintra = 84.0672, Yextra = 611.803, Igx = 108.5"
"x= 109, f(x) = 350.371, t(x) = 528.754, Yintra = 85.994, Yextra = 614.748, Igx = 109.5"
"x= 110, f(x) = 352.793, t(x) = 529.75, Yintra = 87.9179, Yextra = 617.668, Igx = 110.5"
"x= 111, f(x) = 355.2, t(x) = 530.723, Yintra = 89.8386, Yextra = 620.561, Igx = 111.5"
"x= 112, f(x) = 357.593, t(x) = 531.673, Yintra = 91.7561, Yextra = 623.429, Igx = 112.5"
"x= 113, f(x) = 359.971, t(x) = 532.602, Yintra = 93.6703, Yextra = 626.272, Igx = 113.5"
"x= 114, f(x) = 362.335, t(x) = 533.508, Yintra = 95.5809, Yextra = 629.089, Igx = 114.5"
"x= 115, f(x) = 364.685, t(x) = 534.393, Yintra = 97.488, Yextra = 631.881, Igx = 115.5"
"x= 116, f(x) = 367.02, t(x) = 535.257, Yintra = 99.3914, Yextra = 634.648, Igx = 116.5"
"x= 117, f(x) = 369.341, t(x) = 536.099, Yintra = 101.291, Yextra = 637.39, Igx = 117.5"
"x= 118, f(x) = 371.647, t(x) = 536.92, Yintra = 103.187, Yextra = 640.107, Igx = 118.5"
"x= 119, f(x) = 373.939, t(x) = 537.721, Yintra = 105.078, Yextra = 642.799, Igx = 119.5"
"x= 120, f(x) = 376.216, t(x) = 538.501, Yintra = 106.966, Yextra = 645.467, Igx = 120.5"
"x= 121, f(x) = 378.479, t(x) = 539.261, Yintra = 108.849, Yextra = 648.11, Igx = 121.5"
"x= 122, f(x) = 380.728, t(x) = 540, Yintra = 110.728, Yextra = 650.728, Igx = 122.5"
"x= 123, f(x) = 382.962, t(x) = 540.72, Yintra = 112.602, Yextra = 653.322, Igx = 123.5"
"x= 124, f(x) = 385.182, t(x) = 541.42, Yintra = 114.472, Yextra = 655.892, Igx = 124.5"
"x= 125, f(x) = 387.387, t(x) = 542.1, Yintra = 116.338, Yextra = 658.437, Igx = 125.5"
"x= 126, f(x) = 389.578, t(x) = 542.761, Yintra = 118.198, Yextra = 660.959, Igx = 126.5"
"x= 127, f(x) = 391.755, t(x) = 543.402, Yintra = 120.054, Yextra = 663.456, Igx = 127.5"
"x= 128, f(x) = 393.917, t(x) = 544.025, Yintra = 121.905, Yextra = 665.93, Igx = 128.5"
"x= 129, f(x) = 396.065, t(x) = 544.629, Yintra = 123.75, Yextra = 668.379, Igx = 129.5"
"x= 130, f(x) = 398.198, t(x) = 545.214, Yintra = 125.591, Yextra = 670.805, Igx = 130.5"
"x= 131, f(x) = 400.317, t(x) = 545.781, Yintra = 127.427, Yextra = 673.207, Igx = 131.5"
"x= 132, f(x) = 402.422, t(x) = 546.329, Yintra = 129.257, Yextra = 675.586, Igx = 132.5"
"x= 133, f(x) = 404.512, t(x) = 546.859, Yintra = 131.082, Yextra = 677.941, Igx = 133.5"
"x= 134, f(x) = 406.587, t(x) = 547.372, Yintra = 132.902, Yextra = 680.273, Igx = 134.5"
"x= 135, f(x) = 408.649, t(x) = 547.866, Yintra = 134.716, Yextra = 682.582, Igx = 135.5"
"x= 136, f(x) = 410.695, t(x) = 548.343, Yintra = 136.524, Yextra = 684.867, Igx = 136.5"
"x= 137, f(x) = 412.728, t(x) = 548.803, Yintra = 138.327, Yextra = 687.129, Igx = 137.5"
"x= 138, f(x) = 414.746, t(x) = 549.245, Yintra = 140.124, Yextra = 689.368, Igx = 138.5"
"x= 139, f(x) = 416.75, t(x) = 549.67, Yintra = 141.915, Yextra = 691.584, Igx = 139.5"
"x= 140, f(x) = 418.739, t(x) = 550.077, Yintra = 143.7, Yextra = 693.777, Igx = 140.5"
"x= 141, f(x) = 420.714, t(x) = 550.468, Yintra = 145.479, Yextra = 695.948, Igx = 141.5"
"x= 142, f(x) = 422.674, t(x) = 550.843, Yintra = 147.253, Yextra = 698.095, Igx = 142.5"
"x= 143, f(x) = 424.62, t(x) = 551.2, Yintra = 149.02, Yextra = 700.22, Igx = 143.5"
"x= 144, f(x) = 426.551, t(x) = 551.542, Yintra = 150.781, Yextra = 702.322, Igx = 144.5"
"x= 145, f(x) = 428.468, t(x) = 551.867, Yintra = 152.535, Yextra = 704.402, Igx = 145.5"
"x= 146, f(x) = 430.371, t(x) = 552.176, Yintra = 154.283, Yextra = 706.459, Igx = 146.5"
"x= 147, f(x) = 432.259, t(x) = 552.468, Yintra = 156.025, Yextra = 708.494, Igx = 147.5"
"x= 148, f(x) = 434.133, t(x) = 552.745, Yintra = 157.761, Yextra = 710.506, Igx = 148.5"
"x= 149, f(x) = 435.993, t(x) = 553.006, Yintra = 159.49, Yextra = 712.496, Igx = 149.5"
"x= 150, f(x) = 437.838, t(x) = 553.252, Yintra = 161.212, Yextra = 714.464, Igx = 150.5"
"x= 151, f(x) = 439.668, t(x) = 553.482, Yintra = 162.927, Yextra = 716.41, Igx = 151.5"
"x= 152, f(x) = 441.485, t(x) = 553.697, Yintra = 164.636, Yextra = 718.333, Igx = 152.5"
"x= 153, f(x) = 443.286, t(x) = 553.896, Yintra = 166.338, Yextra = 720.235, Igx = 153.5"
"x= 154, f(x) = 445.074, t(x) = 554.081, Yintra = 168.034, Yextra = 722.114, Igx = 154.5"
"x= 155, f(x) = 446.847, t(x) = 554.25, Yintra = 169.722, Yextra = 723.972, Igx = 155.5"
"x= 156, f(x) = 448.605, t(x) = 554.405, Yintra = 171.403, Yextra = 725.808, Igx = 156.5"
"x= 157, f(x) = 450.35, t(x) = 554.544, Yintra = 173.077, Yextra = 727.622, Igx = 157.5"
"x= 158, f(x) = 452.079, t(x) = 554.67, Yintra = 174.744, Yextra = 729.414, Igx = 158.5"
"x= 159, f(x) = 453.795, t(x) = 554.78, Yintra = 176.404, Yextra = 731.185, Igx = 159.5"
"x= 160, f(x) = 455.495, t(x) = 554.877, Yintra = 178.057, Yextra = 732.934, Igx = 160.5"
"x= 161, f(x) = 457.182, t(x) = 554.959, Yintra = 179.703, Yextra = 734.661, Igx = 161.5"
"x= 162, f(x) = 458.854, t(x) = 555.027, Yintra = 181.341, Yextra = 736.367, Igx = 162.5"
"x= 163, f(x) = 460.512, t(x) = 555.08, Yintra = 182.972, Yextra = 738.052, Igx = 163.5"
"x= 164, f(x) = 462.155, t(x) = 555.12, Yintra = 184.595, Yextra = 739.715, Igx = 164.5"
"x= 165, f(x) = 463.784, t(x) = 555.146, Yintra = 186.211, Yextra = 741.357, Igx = 165.5"
"x= 166, f(x) = 465.398, t(x) = 555.159, Yintra = 187.819, Yextra = 742.978, Igx = 166.5"
"x= 167, f(x) = 466.998, t(x) = 555.157, Yintra = 189.42, Yextra = 744.577, Igx = 167.5"
"x= 168, f(x) = 468.584, t(x) = 555.143, Yintra = 191.012, Yextra = 746.155, Igx = 168.5"
"x= 169, f(x) = 470.155, t(x) = 555.114, Yintra = 192.598, Yextra = 747.712, Igx = 169.5"
"x= 170, f(x) = 471.712, t(x) = 555.073, Yintra = 194.175, Yextra = 749.248, Igx = 170.5"
"x= 171, f(x) = 473.254, t(x) = 555.018, Yintra = 195.745, Yextra = 750.763, Igx = 171.5"
