"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 12.75, f(x) = 1.89975, t(x) = 2.48048, Yintra = 0.659509, Yextra = 3.13999, Igx = 0.142839"
"x= 13, f(x) = 1.924, t(x) = 2.48487, Yintra = 0.681566, Yextra = 3.16643, Igx = 0.14838"
"x= 13.25, f(x) = 1.94775, t(x) = 2.48869, Yintra = 0.703404, Yextra = 3.1921, Igx = 0.153942"
"x= 13.5, f(x) = 1.971, t(x) = 2.49196, Yintra = 0.725018, Yextra = 3.21698, Igx = 0.159521"
"x= 13.75, f(x) = 1.99375, t(x) = 2.4947, Yintra = 0.7464, Yextra = 3.2411, Igx = 0.165109"
"x= 14, f(x) = 2.016, t(x) = 2.49691, Yintra = 0.767546, Yextra = 3.26445, Igx = 0.170699"
"x= 14.25, f(x) = 2.03775, t(x) = 2.4986, Yintra = 0.788448, Yextra = 3.28705, Igx = 0.176283"
"x= 14.5, f(x) = 2.059, t(x) = 2.4998, Yintra = 0.809101, Yextra = 3.3089, Igx = 0.181856"
"x= 14.75, f(x) = 2.07975, t(x) = 2.5005, Yintra = 0.829501, Yextra = 3.33, Igx = 0.18741"
"x= 15, f(x) = 2.1, t(x) = 2.50072, Yintra = 0.84964, Yextra = 3.35036, Igx = 0.192937"
"x= 15.25, f(x) = 2.11975, t(x) = 2.50047, Yintra = 0.869515, Yextra = 3.36998, Igx = 0.198432"
"x= 15.5, f(x) = 2.139, t(x) = 2.49976, Yintra = 0.88912, Yextra = 3.38888, Igx = 0.203888"
"x= 15.75, f(x) = 2.15775, t(x) = 2.4986, Yintra = 0.908451, Yextra = 3.40705, Igx = 0.209297"
"x= 16, f(x) = 2.176, t(x) = 2.49699, Yintra = 0.927503, Yextra = 3.4245, Igx = 0.214652"
"x= 16.25, f(x) = 2.19375, t(x) = 2.49496, Yintra = 0.94627, Yextra = 3.44123, Igx = 0.219948"
"x= 16.5, f(x) = 2.211, t(x) = 2.4925, Yintra = 0.96475, Yextra = 3.45725, Igx = 0.225177"
"x= 16.75, f(x) = 2.22775, t(x) = 2.48963, Yintra = 0.982937, Yextra = 3.47256, Igx = 0.230334"
"x= 17, f(x) = 2.244, t(x) = 2.48634, Yintra = 1.00083, Yextra = 3.48717, Igx = 0.235411"
"x= 17.25, f(x) = 2.25975, t(x) = 2.48266, Yintra = 1.01842, Yextra = 3.50108, Igx = 0.240403"
"x= 17.5, f(x) = 2.275, t(x) = 2.47859, Yintra = 1.0357, Yextra = 3.5143, Igx = 0.245303"
"x= 17.75, f(x) = 2.28975, t(x) = 2.47414, Yintra = 1.05268, Yextra = 3.52682, Igx = 0.250105"
"x= 18, f(x) = 2.304, t(x) = 2.4693, Yintra = 1.06935, Yextra = 3.53865, Igx = 0.254804"
"x= 18.25, f(x) = 2.31775, t(x) = 2.4641, Yintra = 1.0857, Yextra = 3.5498, Igx = 0.259393"
"x= 18.5, f(x) = 2.331, t(x) = 2.45854, Yintra = 1.10173, Yextra = 3.56027, Igx = 0.263867"
"x= 18.75, f(x) = 2.34375, t(x) = 2.45262, Yintra = 1.11744, Yextra = 3.57006, Igx = 0.268221"
"x= 19, f(x) = 2.356, t(x) = 2.44635, Yintra = 1.13282, Yextra = 3.57918, Igx = 0.272449"
"x= 19.25, f(x) = 2.36775, t(x) = 2.43974, Yintra = 1.14788, Yextra = 3.58762, Igx = 0.276545"
"x= 19.5, f(x) = 2.379, t(x) = 2.4328, Yintra = 1.1626, Yextra = 3.5954, Igx = 0.280506"
"x= 19.75, f(x) = 2.38975, t(x) = 2.42552, Yintra = 1.17699, Yextra = 3.60251, Igx = 0.284326"
"x= 20, f(x) = 2.4, t(x) = 2.41792, Yintra = 1.19104, Yextra = 3.60896, Igx = 0.288"
"x= 20.25, f(x) = 2.40975, t(x) = 2.41, Yintra = 1.20475, Yextra = 3.61475, Igx = 0.291524"
"x= 20.5, f(x) = 2.419, t(x) = 2.40177, Yintra = 1.21811, Yextra = 3.61989, Igx = 0.294894"
"x= 20.75, f(x) = 2.42775, t(x) = 2.39323, Yintra = 1.23113, Yextra = 3.62437, Igx = 0.298106"
"x= 21, f(x) = 2.436, t(x) = 2.38439, Yintra = 1.2438, Yextra = 3.6282, Igx = 0.301155"
"x= 21.25, f(x) = 2.44375, t(x) = 2.37526, Yintra = 1.25612, Yextra = 3.63138, Igx = 0.304039"
"x= 21.5, f(x) = 2.451, t(x) = 2.36583, Yintra = 1.26808, Yextra = 3.63392, Igx = 0.306753"
"x= 21.75, f(x) = 2.45775, t(x) = 2.35612, Yintra = 1.27969, Yextra = 3.63581, Igx = 0.309294"
"x= 22, f(x) = 2.464, t(x) = 2.34612, Yintra = 1.29094, Yextra = 3.63706, Igx = 0.31166"
"x= 22.25, f(x) = 2.46975, t(x) = 2.33585, Yintra = 1.30182, Yextra = 3.63768, Igx = 0.313847"
"x= 22.5, f(x) = 2.475, t(x) = 2.32531, Yintra = 1.31235, Yextra = 3.63765, Igx = 0.315853"
"x= 22.75, f(x) = 2.47975, t(x) = 2.3145, Yintra = 1.3225, Yextra = 3.637, Igx = 0.317675"
"x= 23, f(x) = 2.484, t(x) = 2.30342, Yintra = 1.33229, Yextra = 3.63571, Igx = 0.319311"
"x= 23.25, f(x) = 2.48775, t(x) = 2.29209, Yintra = 1.34171, Yextra = 3.63379, Igx = 0.320759"
"x= 23.5, f(x) = 2.491, t(x) = 2.2805, Yintra = 1.35075, Yextra = 3.63125, Igx = 0.322018"
"x= 23.75, f(x) = 2.49375, t(x) = 2.26866, Yintra = 1.35942, Yextra = 3.62808, Igx = 0.323086"
"x= 24, f(x) = 2.496, t(x) = 2.25657, Yintra = 1.36771, Yextra = 3.62429, Igx = 0.323961"
"x= 24.25, f(x) = 2.49775, t(x) = 2.24425, Yintra = 1.37563, Yextra = 3.61987, Igx = 0.324643"
"x= 24.5, f(x) = 2.499, t(x) = 2.23168, Yintra = 1.38316, Yextra = 3.61484, Igx = 0.32513"
"x= 24.75, f(x) = 2.49975, t(x) = 2.21888, Yintra = 1.39031, Yextra = 3.60919, Igx = 0.325423"
"x= 25, f(x) = 2.5, t(x) = 2.20584, Yintra = 1.39708, Yextra = 3.60292, Igx = 0.325521"
"x= 25.25, f(x) = 2.49975, t(x) = 2.19258, Yintra = 1.40346, Yextra = 3.59604, Igx = 0.325423"
"x= 25.5, f(x) = 2.499, t(x) = 2.1791, Yintra = 1.40945, Yextra = 3.58855, Igx = 0.32513"
"x= 25.75, f(x) = 2.49775, t(x) = 2.16539, Yintra = 1.41506, Yextra = 3.58044, Igx = 0.324643"
"x= 26, f(x) = 2.496, t(x) = 2.15146, Yintra = 1.42027, Yextra = 3.57173, Igx = 0.323961"
"x= 26.25, f(x) = 2.49375, t(x) = 2.13732, Yintra = 1.42509, Yextra = 3.56241, Igx = 0.323086"
"x= 26.5, f(x) = 2.491, t(x) = 2.12297, Yintra = 1.42951, Yextra = 3.55249, Igx = 0.322018"
"x= 26.75, f(x) = 2.48775, t(x) = 2.10841, Yintra = 1.43354, Yextra = 3.54196, Igx = 0.320759"
"x= 27, f(x) = 2.484, t(x) = 2.09365, Yintra = 1.43718, Yextra = 3.53082, Igx = 0.319311"
"x= 27.25, f(x) = 2.47975, t(x) = 2.07868, Yintra = 1.44041, Yextra = 3.51909, Igx = 0.317675"
"x= 27.5, f(x) = 2.475, t(x) = 2.06351, Yintra = 1.44324, Yextra = 3.50676, Igx = 0.315853"
"x= 27.75, f(x) = 2.46975, t(x) = 2.04815, Yintra = 1.44568, Yextra = 3.49382, Igx = 0.313847"
"x= 28, f(x) = 2.464, t(x) = 2.03259, Yintra = 1.44771, Yextra = 3.48029, Igx = 0.31166"
"x= 28.25, f(x) = 2.45775, t(x) = 2.01684, Yintra = 1.44933, Yextra = 3.46617, Igx = 0.309294"
"x= 28.5, f(x) = 2.451, t(x) = 2.00089, Yintra = 1.45055, Yextra = 3.45145, Igx = 0.306753"
"x= 28.75, f(x) = 2.44375, t(x) = 1.98477, Yintra = 1.45137, Yextra = 3.43613, Igx = 0.304039"
"x= 29, f(x) = 2.436, t(x) = 1.96845, Yintra = 1.45177, Yextra = 3.42023, Igx = 0.301155"
"x= 29.25, f(x) = 2.42775, t(x) = 1.95196, Yintra = 1.45177, Yextra = 3.40373, Igx = 0.298106"
"x= 29.5, f(x) = 2.419, t(x) = 1.93528, Yintra = 1.45136, Yextra = 3.38664, Igx = 0.294894"
"x= 29.75, f(x) = 2.40975, t(x) = 1.91843, Yintra = 1.45053, Yextra = 3.36897, Igx = 0.291524"
"x= 30, f(x) = 2.4, t(x) = 1.9014, Yintra = 1.4493, Yextra = 3.3507, Igx = 0.288"
"x= 30.25, f(x) = 2.38975, t(x) = 1.8842, Yintra = 1.44765, Yextra = 3.33185, Igx = 0.284326"
"x= 30.5, f(x) = 2.379, t(x) = 1.86683, Yintra = 1.44559, Yextra = 3.31241, Igx = 0.280506"
"x= 30.75, f(x) = 2.36775, t(x) = 1.84928, Yintra = 1.44311, Yextra = 3.29239, Igx = 0.276545"
"x= 31, f(x) = 2.356, t(x) = 1.83157, Yintra = 1.44021, Yextra = 3.27179, Igx = 0.272449"
"x= 31.25, f(x) = 2.34375, t(x) = 1.8137, Yintra = 1.4369, Yextra = 3.2506, Igx = 0.268221"
"x= 31.5, f(x) = 2.331, t(x) = 1.79565, Yintra = 1.43317, Yextra = 3.22883, Igx = 0.263867"
"x= 31.75, f(x) = 2.31775, t(x) = 1.77745, Yintra = 1.42903, Yextra = 3.20647, Igx = 0.259393"
"x= 32, f(x) = 2.304, t(x) = 1.75908, Yintra = 1.42446, Yextra = 3.18354, Igx = 0.254804"
"x= 32.25, f(x) = 2.28975, t(x) = 1.74056, Yintra = 1.41947, Yextra = 3.16003, Igx = 0.250105"
"x= 32.5, f(x) = 2.275, t(x) = 1.72187, Yintra = 1.41406, Yextra = 3.13594, Igx = 0.245303"
"x= 32.75, f(x) = 2.25975, t(x) = 1.70303, Yintra = 1.40823, Yextra = 3.11127, Igx = 0.240403"
"x= 33, f(x) = 2.244, t(x) = 1.68404, Yintra = 1.40198, Yextra = 3.08602, Igx = 0.235411"
"x= 33.25, f(x) = 2.22775, t(x) = 1.66489, Yintra = 1.39531, Yextra = 3.06019, Igx = 0.230334"
"x= 33.5, f(x) = 2.211, t(x) = 1.64559, Yintra = 1.38821, Yextra = 3.03379, Igx = 0.225177"
"x= 33.75, f(x) = 2.19375, t(x) = 1.62613, Yintra = 1.38068, Yextra = 3.00682, Igx = 0.219948"
"x= 34, f(x) = 2.176, t(x) = 1.60653, Yintra = 1.37274, Yextra = 2.97926, Igx = 0.214652"
"x= 34.25, f(x) = 2.15775, t(x) = 1.58677, Yintra = 1.36436, Yextra = 2.95114, Igx = 0.209297"
"x= 34.5, f(x) = 2.139, t(x) = 1.56687, Yintra = 1.35556, Yextra = 2.92244, Igx = 0.203888"
"x= 34.75, f(x) = 2.11975, t(x) = 1.54682, Yintra = 1.34634, Yextra = 2.89316, Igx = 0.198432"
"x= 35, f(x) = 2.1, t(x) = 1.52663, Yintra = 1.33669, Yextra = 2.86331, Igx = 0.192937"
"x= 35.25, f(x) = 2.07975, t(x) = 1.50629, Yintra = 1.32661, Yextra = 2.83289, Igx = 0.18741"
"x= 35.5, f(x) = 2.059, t(x) = 1.4858, Yintra = 1.3161, Yextra = 2.8019, Igx = 0.181856"
"x= 35.75, f(x) = 2.03775, t(x) = 1.46517, Yintra = 1.30516, Yextra = 2.77034, Igx = 0.176283"
"x= 36, f(x) = 2.016, t(x) = 1.4444, Yintra = 1.2938, Yextra = 2.7382, Igx = 0.170699"
"x= 36.25, f(x) = 1.99375, t(x) = 1.42349, Yintra = 1.28201, Yextra = 2.70549, Igx = 0.165109"
"x= 36.5, f(x) = 1.971, t(x) = 1.40243, Yintra = 1.26979, Yextra = 2.67221, Igx = 0.159521"
"x= 36.75, f(x) = 1.94775, t(x) = 1.38123, Yintra = 1.25713, Yextra = 2.63837, Igx = 0.153942"
"x= 37, f(x) = 1.924, t(x) = 1.35989, Yintra = 1.24405, Yextra = 2.60395, Igx = 0.14838"
"x= 37.25, f(x) = 1.89975, t(x) = 1.33841, Yintra = 1.23054, Yextra = 2.56896, Igx = 0.142839"
"x= 37.5, f(x) = 1.875, t(x) = 1.31679, Yintra = 1.2166, Yextra = 2.5334, Igx = 0.137329"
"x= 37.75, f(x) = 1.84975, t(x) = 1.29504, Yintra = 1.20223, Yextra = 2.49727, Igx = 0.131855"
"x= 38, f(x) = 1.824, t(x) = 1.27314, Yintra = 1.18743, Yextra = 2.46057, Igx = 0.126425"
"x= 38.25, f(x) = 1.79775, t(x) = 1.2511, Yintra = 1.1722, Yextra = 2.4233, Igx = 0.121045"
"x= 38.5, f(x) = 1.771, t(x) = 1.22893, Yintra = 1.15654, Yextra = 2.38546, Igx = 0.115722"
"x= 38.75, f(x) = 1.74375, t(x) = 1.20661, Yintra = 1.14044, Yextra = 2.34706, Igx = 0.110462"
"x= 39, f(x) = 1.716, t(x) = 1.18416, Yintra = 1.12392, Yextra = 2.30808, Igx = 0.105271"
"x= 39.25, f(x) = 1.68775, t(x) = 1.16157, Yintra = 1.10697, Yextra = 2.26853, Igx = 0.100157"
