"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 0.5, f(x) = 1.66667, t(x) = 2.7504, Yintra = 0.291465, Yextra = 3.04187, Igx = 0.75"
"x= 1, f(x) = 2.66667, t(x) = 2.98876, Yintra = 1.17229, Yextra = 4.16104, Igx = 1.25"
"x= 1.5, f(x) = 3, t(x) = 2.64701, Yintra = 1.67649, Yextra = 4.32351, Igx = 1.75"
"x= 2, f(x) = 2.66667, t(x) = 1.99016, Yintra = 1.67158, Yextra = 3.66175, Igx = 2.25"
"x= 2.5, f(x) = 1.66667, t(x) = 1.12324, Yintra = 1.10504, Yextra = 2.22829, Igx = 2.75"
"x= 3, f(x) = -0, t(x) = 0.063, Yintra = -0.0315, Yextra = 0.0315, Igx = 3.25"
