"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 27, f(x) = 78.84, t(x) = 99.6786, Yintra = 29.0007, Yextra = 128.679, Igx = 27.25"
"x= 27.5, f(x) = 79.75, t(x) = 99.788, Yintra = 29.856, Yextra = 129.644, Igx = 27.75"
"x= 28, f(x) = 80.64, t(x) = 99.8764, Yintra = 30.7018, Yextra = 130.578, Igx = 28.25"
"x= 28.5, f(x) = 81.51, t(x) = 99.9442, Yintra = 31.5379, Yextra = 131.482, Igx = 28.75"
"x= 29, f(x) = 82.36, t(x) = 99.9919, Yintra = 32.3641, Yextra = 132.356, Igx = 29.25"
"x= 29.5, f(x) = 83.19, t(x) = 100.02, Yintra = 33.18, Yextra = 133.2, Igx = 29.75"
"x= 30, f(x) = 84, t(x) = 100.029, Yintra = 33.9856, Yextra = 134.014, Igx = 30.25"
"x= 30.5, f(x) = 84.79, t(x) = 100.019, Yintra = 34.7806, Yextra = 134.799, Igx = 30.75"
"x= 31, f(x) = 85.56, t(x) = 99.9904, Yintra = 35.5648, Yextra = 135.555, Igx = 31.25"
"x= 31.5, f(x) = 86.31, t(x) = 99.9439, Yintra = 36.338, Yextra = 136.282, Igx = 31.75"
"x= 32, f(x) = 87.04, t(x) = 99.8798, Yintra = 37.1001, Yextra = 136.98, Igx = 32.25"
"x= 32.5, f(x) = 87.75, t(x) = 99.7984, Yintra = 37.8508, Yextra = 137.649, Igx = 32.75"
"x= 33, f(x) = 88.44, t(x) = 99.7, Yintra = 38.59, Yextra = 138.29, Igx = 33.25"
"x= 33.5, f(x) = 89.11, t(x) = 99.585, Yintra = 39.3175, Yextra = 138.903, Igx = 33.75"
"x= 34, f(x) = 89.76, t(x) = 99.4538, Yintra = 40.0331, Yextra = 139.487, Igx = 34.25"
"x= 34.5, f(x) = 90.39, t(x) = 99.3065, Yintra = 40.7367, Yextra = 140.043, Igx = 34.75"
"x= 35, f(x) = 91, t(x) = 99.1436, Yintra = 41.4282, Yextra = 140.572, Igx = 35.25"
"x= 35.5, f(x) = 91.59, t(x) = 98.9654, Yintra = 42.1073, Yextra = 141.073, Igx = 35.75"
"x= 36, f(x) = 92.16, t(x) = 98.7721, Yintra = 42.7739, Yextra = 141.546, Igx = 36.25"
"x= 36.5, f(x) = 92.71, t(x) = 98.5641, Yintra = 43.428, Yextra = 141.992, Igx = 36.75"
"x= 37, f(x) = 93.24, t(x) = 98.3416, Yintra = 44.0692, Yextra = 142.411, Igx = 37.25"
"x= 37.5, f(x) = 93.75, t(x) = 98.1048, Yintra = 44.6976, Yextra = 142.802, Igx = 37.75"
"x= 38, f(x) = 94.24, t(x) = 97.8541, Yintra = 45.3129, Yextra = 143.167, Igx = 38.25"
"x= 38.5, f(x) = 94.71, t(x) = 97.5897, Yintra = 45.9151, Yextra = 143.505, Igx = 38.75"
"x= 39, f(x) = 95.16, t(x) = 97.3119, Yintra = 46.5041, Yextra = 143.816, Igx = 39.25"
"x= 39.5, f(x) = 95.59, t(x) = 97.0208, Yintra = 47.0796, Yextra = 144.1, Igx = 39.75"
"x= 40, f(x) = 96, t(x) = 96.7169, Yintra = 47.6416, Yextra = 144.358, Igx = 40.25"
"x= 40.5, f(x) = 96.39, t(x) = 96.4001, Yintra = 48.1899, Yextra = 144.59, Igx = 40.75"
"x= 41, f(x) = 96.76, t(x) = 96.0709, Yintra = 48.7246, Yextra = 144.795, Igx = 41.25"
"x= 41.5, f(x) = 97.11, t(x) = 95.7294, Yintra = 49.2453, Yextra = 144.975, Igx = 41.75"
"x= 42, f(x) = 97.44, t(x) = 95.3758, Yintra = 49.7521, Yextra = 145.128, Igx = 42.25"
"x= 42.5, f(x) = 97.75, t(x) = 95.0104, Yintra = 50.2448, Yextra = 145.255, Igx = 42.75"
"x= 43, f(x) = 98.04, t(x) = 94.6333, Yintra = 50.7234, Yextra = 145.357, Igx = 43.25"
"x= 43.5, f(x) = 98.31, t(x) = 94.2447, Yintra = 51.1876, Yextra = 145.432, Igx = 43.75"
"x= 44, f(x) = 98.56, t(x) = 93.8449, Yintra = 51.6375, Yextra = 145.482, Igx = 44.25"
"x= 44.5, f(x) = 98.79, t(x) = 93.434, Yintra = 52.073, Yextra = 145.507, Igx = 44.75"
"x= 45, f(x) = 99, t(x) = 93.0123, Yintra = 52.4939, Yextra = 145.506, Igx = 45.25"
"x= 45.5, f(x) = 99.19, t(x) = 92.5798, Yintra = 52.9001, Yextra = 145.48, Igx = 45.75"
"x= 46, f(x) = 99.36, t(x) = 92.1368, Yintra = 53.2916, Yextra = 145.428, Igx = 46.25"
"x= 46.5, f(x) = 99.51, t(x) = 91.6835, Yintra = 53.6683, Yextra = 145.352, Igx = 46.75"
"x= 47, f(x) = 99.64, t(x) = 91.2199, Yintra = 54.03, Yextra = 145.25, Igx = 47.25"
"x= 47.5, f(x) = 99.75, t(x) = 90.7464, Yintra = 54.3768, Yextra = 145.123, Igx = 47.75"
"x= 48, f(x) = 99.84, t(x) = 90.263, Yintra = 54.7085, Yextra = 144.971, Igx = 48.25"
"x= 48.5, f(x) = 99.91, t(x) = 89.7699, Yintra = 55.0251, Yextra = 144.795, Igx = 48.75"
"x= 49, f(x) = 99.96, t(x) = 89.2672, Yintra = 55.3264, Yextra = 144.594, Igx = 49.25"
