"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.55556, t(x) = 7.29004, Yintra = -0.0894643, Yextra = 7.20058, Igx = 1.5"
"x= 2, f(x) = 6.22222, t(x) = 8.77225, Yintra = 1.8361, Yextra = 10.6083, Igx = 2.5"
"x= 3, f(x) = 8, t(x) = 8.96627, Yintra = 3.51687, Yextra = 12.4831, Igx = 3.5"
"x= 4, f(x) = 8.88889, t(x) = 8.41322, Yintra = 4.68228, Yextra = 13.0955, Igx = 4.5"
"x= 5, f(x) = 8.88889, t(x) = 7.36714, Yintra = 5.20532, Yextra = 12.5725, Igx = 5.5"
"x= 6, f(x) = 8, t(x) = 5.97049, Yintra = 5.01475, Yextra = 10.9852, Igx = 6.5"
"x= 7, f(x) = 6.22222, t(x) = 4.29896, Yintra = 4.07274, Yextra = 8.3717, Igx = 7.5"
"x= 8, f(x) = 3.55556, t(x) = 2.37777, Yintra = 2.36667, Yextra = 4.74444, Igx = 8.5"
"x= 9, f(x) = 0, t(x) = 0.189, Yintra = -0.0945, Yextra = 0.0945, Igx = 9.5"
