"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 2"
"x= 4, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 6"
"x= 8, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 10"
"x= 12, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 14"
"x= 16, f(x) = 9.6, t(x) = 9.67169, Yintra = 4.76416, Yextra = 14.4358, Igx = 18"
"x= 20, f(x) = 10, t(x) = 8.82338, Yintra = 5.58831, Yextra = 14.4117, Igx = 22"
"x= 24, f(x) = 9.6, t(x) = 7.60562, Yintra = 5.79719, Yextra = 13.4028, Igx = 26"
"x= 28, f(x) = 8.4, t(x) = 6.10651, Yintra = 5.34674, Yextra = 11.4533, Igx = 30"
"x= 32, f(x) = 6.4, t(x) = 4.37186, Yintra = 4.21407, Yextra = 8.58593, Igx = 34"
"x= 36, f(x) = 3.6, t(x) = 2.41286, Yintra = 2.39357, Yextra = 4.80643, Igx = 38"
"x= 40, f(x) = 0, t(x) = 0.21, Yintra = -0.105, Yextra = 0.105, Igx = 42"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 2"
"x= 4, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 6"
"x= 8, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 10"
"x= 12, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 14"
"x= 16, f(x) = 9.6, t(x) = 9.67169, Yintra = 4.76416, Yextra = 14.4358, Igx = 18"
"x= 20, f(x) = 10, t(x) = 8.82338, Yintra = 5.58831, Yextra = 14.4117, Igx = 22"
"x= 24, f(x) = 9.6, t(x) = 7.60562, Yintra = 5.79719, Yextra = 13.4028, Igx = 26"
"x= 28, f(x) = 8.4, t(x) = 6.10651, Yintra = 5.34674, Yextra = 11.4533, Igx = 30"
"x= 32, f(x) = 6.4, t(x) = 4.37186, Yintra = 4.21407, Yextra = 8.58593, Igx = 34"
"x= 36, f(x) = 3.6, t(x) = 2.41286, Yintra = 2.39357, Yextra = 4.80643, Igx = 38"
"x= 40, f(x) = 0, t(x) = 0.21, Yintra = -0.105, Yextra = 0.105, Igx = 42"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 2"
"x= 4, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 6"
"x= 8, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 10"
"x= 12, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 14"
"x= 16, f(x) = 9.6, t(x) = 9.67169, Yintra = 4.76416, Yextra = 14.4358, Igx = 18"
"x= 20, f(x) = 10, t(x) = 8.82338, Yintra = 5.58831, Yextra = 14.4117, Igx = 22"
"x= 24, f(x) = 9.6, t(x) = 7.60562, Yintra = 5.79719, Yextra = 13.4028, Igx = 26"
"x= 28, f(x) = 8.4, t(x) = 6.10651, Yintra = 5.34674, Yextra = 11.4533, Igx = 30"
"x= 32, f(x) = 6.4, t(x) = 4.37186, Yintra = 4.21407, Yextra = 8.58593, Igx = 34"
"x= 36, f(x) = 3.6, t(x) = 2.41286, Yintra = 2.39357, Yextra = 4.80643, Igx = 38"
"x= 40, f(x) = 0, t(x) = 0.21, Yintra = -0.105, Yextra = 0.105, Igx = 42"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 2"
"x= 4, f(x) = 3.6, t(x) = 7.80462, Yintra = -0.302309, Yextra = 7.50231, Igx = 6"
"x= 8, f(x) = 6.4, t(x) = 9.56257, Yintra = 1.61871, Yextra = 11.1813, Igx = 10"
