"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 4.86, f(x) = 0.804816, t(x) = 0.678342, Yintra = 0.465645, Yextra = 1.14399, Igx = 0.00468206"
"x= 5.04, f(x) = 0.798336, t(x) = 0.658558, Yintra = 0.469057, Yextra = 1.12762, Igx = 0.00428424"
"x= 5.22, f(x) = 0.789264, t(x) = 0.637779, Yintra = 0.470374, Yextra = 1.10815, Igx = 0.00389137"
"x= 5.4, f(x) = 0.7776, t(x) = 0.616055, Yintra = 0.469573, Yextra = 1.08563, Igx = 0.00350711"
"x= 5.58, f(x) = 0.763344, t(x) = 0.59343, Yintra = 0.466629, Yextra = 1.06006, Igx = 0.00313472"
"x= 5.76, f(x) = 0.746496, t(x) = 0.569943, Yintra = 0.461525, Yextra = 1.03147, Igx = 0.00277706"
"x= 5.94, f(x) = 0.727056, t(x) = 0.545628, Yintra = 0.454242, Yextra = 0.99987, Igx = 0.00243658"
"x= 6.12, f(x) = 0.705024, t(x) = 0.520515, Yintra = 0.444767, Yextra = 0.965281, Igx = 0.00211539"
"x= 6.3, f(x) = 0.6804, t(x) = 0.494627, Yintra = 0.433086, Yextra = 0.927714, Igx = 0.00181521"
"x= 6.48, f(x) = 0.653184, t(x) = 0.467986, Yintra = 0.419191, Yextra = 0.887177, Igx = 0.00153741"
"x= 6.66, f(x) = 0.623376, t(x) = 0.440605, Yintra = 0.403073, Yextra = 0.843679, Igx = 0.00128304"
"x= 6.84, f(x) = 0.590976, t(x) = 0.412497, Yintra = 0.384728, Yextra = 0.797224, Igx = 0.00105282"
"x= 7.02, f(x) = 0.555984, t(x) = 0.383668, Yintra = 0.36415, Yextra = 0.747818, Igx = 0.000847144"
"x= 7.2, f(x) = 0.5184, t(x) = 0.354121, Yintra = 0.34134, Yextra = 0.69546, Igx = 0.00066611"
"x= 7.38, f(x) = 0.478224, t(x) = 0.323855, Yintra = 0.316296, Yextra = 0.640152, Igx = 0.000509499"
"x= 7.56, f(x) = 0.435456, t(x) = 0.292865, Yintra = 0.289023, Yextra = 0.581889, Igx = 0.000376786"
"x= 7.74, f(x) = 0.390096, t(x) = 0.261142, Yintra = 0.259525, Yextra = 0.520667, Igx = 0.00026713"
"x= 7.92, f(x) = 0.342144, t(x) = 0.228673, Yintra = 0.227807, Yextra = 0.456481, Igx = 0.000179365"
"x= 8.1, f(x) = 0.2916, t(x) = 0.195442, Yintra = 0.193879, Yextra = 0.389321, Igx = 0.000111981"
"x= 8.28, f(x) = 0.238464, t(x) = 0.161428, Yintra = 0.15775, Yextra = 0.319178, Igx = 0.0000630995"
"x= 8.46, f(x) = 0.182736, t(x) = 0.126607, Yintra = 0.119433, Yextra = 0.246039, Igx = 0.0000304413"
"x= 8.64, f(x) = 0.124416, t(x) = 0.0909517, Yintra = 0.0789401, Yextra = 0.169892, Igx = 0.0000112856"
"x= 8.82, f(x) = 0.063504, t(x) = 0.054431, Yintra = 0.0362885, Yextra = 0.0907195, Igx = 0.00000241897"
"x= 9, f(x) = 0.00000000000000179856, t(x) = 0.01701, Yintra = -0.008505, Yextra = 0.008505, Igx = 0.0000000738251"
