"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 0.18, f(x) = 0.063504, t(x) = 0.31857, Yintra = -0.095781, Yextra = 0.222789, Igx = 0.00048496"
"x= 0.36, f(x) = 0.124416, t(x) = 0.435743, Yintra = -0.0934553, Yextra = 0.342287, Igx = 0.00124103"
"x= 0.54, f(x) = 0.182736, t(x) = 0.518073, Yintra = -0.0763007, Yextra = 0.441773, Igx = 0.00208576"
"x= 0.72, f(x) = 0.238464, t(x) = 0.581476, Yintra = -0.052274, Yextra = 0.529202, Igx = 0.00294908"
"x= 0.9, f(x) = 0.2916, t(x) = 0.632174, Yintra = -0.024487, Yextra = 0.607687, Igx = 0.00378967"
"x= 1.08, f(x) = 0.342144, t(x) = 0.673405, Yintra = 0.00544174, Yextra = 0.678846, Igx = 0.00458057"
"x= 1.26, f(x) = 0.390096, t(x) = 0.707127, Yintra = 0.0365327, Yextra = 0.743659, Igx = 0.00530375"
"x= 1.44, f(x) = 0.435456, t(x) = 0.734646, Yintra = 0.0681331, Yextra = 0.802779, Igx = 0.00594737"
"x= 1.62, f(x) = 0.478224, t(x) = 0.756894, Yintra = 0.0997772, Yextra = 0.856671, Igx = 0.00650423"
"x= 1.8, f(x) = 0.5184, t(x) = 0.774568, Yintra = 0.131116, Yextra = 0.905684, Igx = 0.0069706"
"x= 1.98, f(x) = 0.555984, t(x) = 0.788215, Yintra = 0.161877, Yextra = 0.950091, Igx = 0.00734556"
"x= 2.16, f(x) = 0.590976, t(x) = 0.798271, Yintra = 0.191841, Yextra = 0.990111, Igx = 0.00763031"
"x= 2.34, f(x) = 0.623376, t(x) = 0.805098, Yintra = 0.220827, Yextra = 1.02592, Igx = 0.00782775"
"x= 2.52, f(x) = 0.653184, t(x) = 0.808998, Yintra = 0.248685, Yextra = 1.05768, Igx = 0.00794208"
"x= 2.7, f(x) = 0.6804, t(x) = 0.810233, Yintra = 0.275283, Yextra = 1.08552, Igx = 0.0079785"
"x= 2.88, f(x) = 0.705024, t(x) = 0.809026, Yintra = 0.300511, Yextra = 1.10954, Igx = 0.0079429"
"x= 3.06, f(x) = 0.727056, t(x) = 0.805575, Yintra = 0.324268, Yextra = 1.12984, Igx = 0.00784169"
"x= 3.24, f(x) = 0.746496, t(x) = 0.800054, Yintra = 0.346469, Yextra = 1.14652, Igx = 0.00768156"
"x= 3.42, f(x) = 0.763344, t(x) = 0.792618, Yintra = 0.367035, Yextra = 1.15965, Igx = 0.00746936"
"x= 3.6, f(x) = 0.7776, t(x) = 0.783406, Yintra = 0.385897, Yextra = 1.1693, Igx = 0.00721195"
"x= 3.78, f(x) = 0.789264, t(x) = 0.772544, Yintra = 0.402992, Yextra = 1.17554, Igx = 0.00691609"
"x= 3.96, f(x) = 0.798336, t(x) = 0.760144, Yintra = 0.418264, Yextra = 1.17841, Igx = 0.00658838"
"x= 4.14, f(x) = 0.804816, t(x) = 0.746308, Yintra = 0.431662, Yextra = 1.17797, Igx = 0.00623514"
"x= 4.32, f(x) = 0.808704, t(x) = 0.73113, Yintra = 0.443139, Yextra = 1.17427, Igx = 0.0058624"
"x= 4.5, f(x) = 0.81, t(x) = 0.714693, Yintra = 0.452653, Yextra = 1.16735, Igx = 0.00547584"
"x= 4.68, f(x) = 0.808704, t(x) = 0.697074, Yintra = 0.460167, Yextra = 1.15724, Igx = 0.00508076"
