"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.125"
"x= 13.25, f(x) = 7.791, t(x) = 9.95477, Yintra = 2.81362, Yextra = 12.7684, Igx = 13.375"
"x= 13.5, f(x) = 7.884, t(x) = 9.96786, Yintra = 2.90007, Yextra = 12.8679, Igx = 13.625"
"x= 13.75, f(x) = 7.975, t(x) = 9.9788, Yintra = 2.9856, Yextra = 12.9644, Igx = 13.875"
"x= 14, f(x) = 8.064, t(x) = 9.98763, Yintra = 3.07018, Yextra = 13.0578, Igx = 14.125"
"x= 14.25, f(x) = 8.151, t(x) = 9.99442, Yintra = 3.15379, Yextra = 13.1482, Igx = 14.375"
"x= 14.5, f(x) = 8.236, t(x) = 9.99919, Yintra = 3.23641, Yextra = 13.2356, Igx = 14.625"
"x= 14.75, f(x) = 8.319, t(x) = 10.002, Yintra = 3.318, Yextra = 13.32, Igx = 14.875"
"x= 15, f(x) = 8.4, t(x) = 10.0029, Yintra = 3.39856, Yextra = 13.4014, Igx = 15.125"
"x= 15.25, f(x) = 8.479, t(x) = 10.0019, Yintra = 3.47806, Yextra = 13.4799, Igx = 15.375"
"x= 15.5, f(x) = 8.556, t(x) = 9.99904, Yintra = 3.55648, Yextra = 13.5555, Igx = 15.625"
"x= 15.75, f(x) = 8.631, t(x) = 9.99439, Yintra = 3.6338, Yextra = 13.6282, Igx = 15.875"
"x= 16, f(x) = 8.704, t(x) = 9.98798, Yintra = 3.71001, Yextra = 13.698, Igx = 16.125"
"x= 16.25, f(x) = 8.775, t(x) = 9.97984, Yintra = 3.78508, Yextra = 13.7649, Igx = 16.375"
"x= 16.5, f(x) = 8.844, t(x) = 9.97, Yintra = 3.859, Yextra = 13.829, Igx = 16.625"
"x= 16.75, f(x) = 8.911, t(x) = 9.9585, Yintra = 3.93175, Yextra = 13.8903, Igx = 16.875"
"x= 17, f(x) = 8.976, t(x) = 9.94537, Yintra = 4.00331, Yextra = 13.9487, Igx = 17.125"
"x= 17.25, f(x) = 9.039, t(x) = 9.93065, Yintra = 4.07367, Yextra = 14.0043, Igx = 17.375"
"x= 17.5, f(x) = 9.1, t(x) = 9.91436, Yintra = 4.14282, Yextra = 14.0572, Igx = 17.625"
"x= 17.75, f(x) = 9.159, t(x) = 9.89654, Yintra = 4.21073, Yextra = 14.1073, Igx = 17.875"
"x= 18, f(x) = 9.216, t(x) = 9.87721, Yintra = 4.27739, Yextra = 14.1546, Igx = 18.125"
"x= 18.25, f(x) = 9.271, t(x) = 9.85641, Yintra = 4.3428, Yextra = 14.1992, Igx = 18.375"
"x= 18.5, f(x) = 9.324, t(x) = 9.83416, Yintra = 4.40692, Yextra = 14.2411, Igx = 18.625"
"x= 18.75, f(x) = 9.375, t(x) = 9.81048, Yintra = 4.46976, Yextra = 14.2802, Igx = 18.875"
"x= 19, f(x) = 9.424, t(x) = 9.78541, Yintra = 4.53129, Yextra = 14.3167, Igx = 19.125"
"x= 19.25, f(x) = 9.471, t(x) = 9.75897, Yintra = 4.59151, Yextra = 14.3505, Igx = 19.375"
"x= 19.5, f(x) = 9.516, t(x) = 9.73119, Yintra = 4.65041, Yextra = 14.3816, Igx = 19.625"
"x= 19.75, f(x) = 9.559, t(x) = 9.70208, Yintra = 4.70796, Yextra = 14.41, Igx = 19.875"
"x= 20, f(x) = 9.6, t(x) = 9.67169, Yintra = 4.76416, Yextra = 14.4358, Igx = 20.125"
"x= 20.25, f(x) = 9.639, t(x) = 9.64001, Yintra = 4.81899, Yextra = 14.459, Igx = 20.375"
"x= 20.5, f(x) = 9.676, t(x) = 9.60709, Yintra = 4.87246, Yextra = 14.4795, Igx = 20.625"
"x= 20.75, f(x) = 9.711, t(x) = 9.57294, Yintra = 4.92453, Yextra = 14.4975, Igx = 20.875"
"x= 21, f(x) = 9.744, t(x) = 9.53758, Yintra = 4.97521, Yextra = 14.5128, Igx = 21.125"
"x= 21.25, f(x) = 9.775, t(x) = 9.50104, Yintra = 5.02448, Yextra = 14.5255, Igx = 21.375"
"x= 21.5, f(x) = 9.804, t(x) = 9.46333, Yintra = 5.07234, Yextra = 14.5357, Igx = 21.625"
"x= 21.75, f(x) = 9.831, t(x) = 9.42447, Yintra = 5.11876, Yextra = 14.5432, Igx = 21.875"
"x= 22, f(x) = 9.856, t(x) = 9.38449, Yintra = 5.16375, Yextra = 14.5482, Igx = 22.125"
"x= 22.25, f(x) = 9.879, t(x) = 9.3434, Yintra = 5.2073, Yextra = 14.5507, Igx = 22.375"
"x= 22.5, f(x) = 9.9, t(x) = 9.30123, Yintra = 5.24939, Yextra = 14.5506, Igx = 22.625"
"x= 22.75, f(x) = 9.919, t(x) = 9.25798, Yintra = 5.29001, Yextra = 14.548, Igx = 22.875"
"x= 23, f(x) = 9.936, t(x) = 9.21368, Yintra = 5.32916, Yextra = 14.5428, Igx = 23.125"
"x= 23.25, f(x) = 9.951, t(x) = 9.16835, Yintra = 5.36683, Yextra = 14.5352, Igx = 23.375"
"x= 23.5, f(x) = 9.964, t(x) = 9.12199, Yintra = 5.403, Yextra = 14.525, Igx = 23.625"
"x= 23.75, f(x) = 9.975, t(x) = 9.07464, Yintra = 5.43768, Yextra = 14.5123, Igx = 23.875"
"x= 24, f(x) = 9.984, t(x) = 9.0263, Yintra = 5.47085, Yextra = 14.4971, Igx = 24.125"
"x= 24.25, f(x) = 9.991, t(x) = 8.97698, Yintra = 5.50251, Yextra = 14.4795, Igx = 24.375"
"x= 24.5, f(x) = 9.996, t(x) = 8.92672, Yintra = 5.53264, Yextra = 14.4594, Igx = 24.625"
"x= 24.75, f(x) = 9.999, t(x) = 8.87551, Yintra = 5.56125, Yextra = 14.4368, Igx = 24.875"
"x= 25, f(x) = 10, t(x) = 8.82338, Yintra = 5.58831, Yextra = 14.4117, Igx = 25.125"
"x= 25.25, f(x) = 9.999, t(x) = 8.77033, Yintra = 5.61384, Yextra = 14.3842, Igx = 25.375"
"x= 25.5, f(x) = 9.996, t(x) = 8.71638, Yintra = 5.63781, Yextra = 14.3542, Igx = 25.625"
"x= 25.75, f(x) = 9.991, t(x) = 8.66156, Yintra = 5.66022, Yextra = 14.3218, Igx = 25.875"
"x= 26, f(x) = 9.984, t(x) = 8.60586, Yintra = 5.68107, Yextra = 14.2869, Igx = 26.125"
"x= 26.25, f(x) = 9.975, t(x) = 8.5493, Yintra = 5.70035, Yextra = 14.2496, Igx = 26.375"
"x= 26.5, f(x) = 9.964, t(x) = 8.49189, Yintra = 5.71805, Yextra = 14.2099, Igx = 26.625"
"x= 26.75, f(x) = 9.951, t(x) = 8.43365, Yintra = 5.73417, Yextra = 14.1678, Igx = 26.875"
"x= 27, f(x) = 9.936, t(x) = 8.37459, Yintra = 5.7487, Yextra = 14.1233, Igx = 27.125"
"x= 27.25, f(x) = 9.919, t(x) = 8.31472, Yintra = 5.76164, Yextra = 14.0764, Igx = 27.375"
"x= 27.5, f(x) = 9.9, t(x) = 8.25405, Yintra = 5.77298, Yextra = 14.027, Igx = 27.625"
"x= 27.75, f(x) = 9.879, t(x) = 8.19259, Yintra = 5.78271, Yextra = 13.9753, Igx = 27.875"
"x= 28, f(x) = 9.856, t(x) = 8.13035, Yintra = 5.79083, Yextra = 13.9212, Igx = 28.125"
"x= 28.25, f(x) = 9.831, t(x) = 8.06734, Yintra = 5.79733, Yextra = 13.8647, Igx = 28.375"
"x= 28.5, f(x) = 9.804, t(x) = 8.00358, Yintra = 5.80221, Yextra = 13.8058, Igx = 28.625"
"x= 28.75, f(x) = 9.775, t(x) = 7.93907, Yintra = 5.80547, Yextra = 13.7445, Igx = 28.875"
"x= 29, f(x) = 9.744, t(x) = 7.87382, Yintra = 5.80709, Yextra = 13.6809, Igx = 29.125"
"x= 29.25, f(x) = 9.711, t(x) = 7.80784, Yintra = 5.80708, Yextra = 13.6149, Igx = 29.375"
"x= 29.5, f(x) = 9.676, t(x) = 7.74114, Yintra = 5.80543, Yextra = 13.5466, Igx = 29.625"
"x= 29.75, f(x) = 9.639, t(x) = 7.67373, Yintra = 5.80214, Yextra = 13.4759, Igx = 29.875"
"x= 30, f(x) = 9.6, t(x) = 7.60562, Yintra = 5.79719, Yextra = 13.4028, Igx = 30.125"
"x= 30.25, f(x) = 9.559, t(x) = 7.53681, Yintra = 5.7906, Yextra = 13.3274, Igx = 30.375"
"x= 30.5, f(x) = 9.516, t(x) = 7.46731, Yintra = 5.78234, Yextra = 13.2497, Igx = 30.625"
"x= 30.75, f(x) = 9.471, t(x) = 7.39714, Yintra = 5.77243, Yextra = 13.1696, Igx = 30.875"
"x= 31, f(x) = 9.424, t(x) = 7.32629, Yintra = 5.76085, Yextra = 13.0871, Igx = 31.125"
"x= 31.25, f(x) = 9.375, t(x) = 7.25478, Yintra = 5.74761, Yextra = 13.0024, Igx = 31.375"
"x= 31.5, f(x) = 9.324, t(x) = 7.18261, Yintra = 5.73269, Yextra = 12.9153, Igx = 31.625"
"x= 31.75, f(x) = 9.271, t(x) = 7.10979, Yintra = 5.7161, Yextra = 12.8259, Igx = 31.875"
"x= 32, f(x) = 9.216, t(x) = 7.03633, Yintra = 5.69783, Yextra = 12.7342, Igx = 32.125"
"x= 32.25, f(x) = 9.159, t(x) = 6.96223, Yintra = 5.67789, Yextra = 12.6401, Igx = 32.375"
