"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.0454545"
"x= 4.54545, f(x) = 8.99908, t(x) = 7.89281, Yintra = 5.05268, Yextra = 12.9455, Igx = 4.59091"
"x= 4.63636, f(x) = 8.99174, t(x) = 7.79389, Yintra = 5.09479, Yextra = 12.8887, Igx = 4.68182"
"x= 4.72727, f(x) = 8.97704, t(x) = 7.69178, Yintra = 5.13116, Yextra = 12.8229, Igx = 4.77273"
"x= 4.81818, f(x) = 8.955, t(x) = 7.58655, Yintra = 5.16173, Yextra = 12.7483, Igx = 4.86364"
"x= 4.90909, f(x) = 8.92562, t(x) = 7.47831, Yintra = 5.18646, Yextra = 12.6648, Igx = 4.95455"
"x= 5, f(x) = 8.88889, t(x) = 7.36714, Yintra = 5.20532, Yextra = 12.5725, Igx = 5.04545"
"x= 5.09091, f(x) = 8.84481, t(x) = 7.25311, Yintra = 5.21826, Yextra = 12.4714, Igx = 5.13636"
"x= 5.18182, f(x) = 8.79339, t(x) = 7.1363, Yintra = 5.22524, Yextra = 12.3615, Igx = 5.22727"
"x= 5.27273, f(x) = 8.73462, t(x) = 7.01679, Yintra = 5.22622, Yextra = 12.243, Igx = 5.31818"
"x= 5.36364, f(x) = 8.6685, t(x) = 6.89464, Yintra = 5.22118, Yextra = 12.1158, Igx = 5.40909"
"x= 5.45455, f(x) = 8.59504, t(x) = 6.76991, Yintra = 5.21009, Yextra = 11.98, Igx = 5.5"
"x= 5.54545, f(x) = 8.51423, t(x) = 6.64266, Yintra = 5.1929, Yextra = 11.8356, Igx = 5.59091"
"x= 5.63636, f(x) = 8.42608, t(x) = 6.51296, Yintra = 5.1696, Yextra = 11.6826, Igx = 5.68182"
"x= 5.72727, f(x) = 8.33058, t(x) = 6.38084, Yintra = 5.14016, Yextra = 11.521, Igx = 5.77273"
"x= 5.81818, f(x) = 8.22773, t(x) = 6.24636, Yintra = 5.10455, Yextra = 11.3509, Igx = 5.86364"
"x= 5.90909, f(x) = 8.11754, t(x) = 6.10957, Yintra = 5.06276, Yextra = 11.1723, Igx = 5.95455"
"x= 6, f(x) = 8, t(x) = 5.97049, Yintra = 5.01475, Yextra = 10.9852, Igx = 6.04545"
"x= 6.09091, f(x) = 7.87511, t(x) = 5.82918, Yintra = 4.96052, Yextra = 10.7897, Igx = 6.13636"
"x= 6.18182, f(x) = 7.74288, t(x) = 5.68567, Yintra = 4.90005, Yextra = 10.5857, Igx = 6.22727"
"x= 6.27273, f(x) = 7.60331, t(x) = 5.53999, Yintra = 4.83331, Yextra = 10.3733, Igx = 6.31818"
"x= 6.36364, f(x) = 7.45638, t(x) = 5.39215, Yintra = 4.7603, Yextra = 10.1525, Igx = 6.40909"
"x= 6.45455, f(x) = 7.30211, t(x) = 5.2422, Yintra = 4.68101, Yextra = 9.92321, Igx = 6.5"
"x= 6.54545, f(x) = 7.1405, t(x) = 5.09015, Yintra = 4.59542, Yextra = 9.68557, Igx = 6.59091"
"x= 6.63636, f(x) = 6.97153, t(x) = 4.93602, Yintra = 4.50352, Yextra = 9.43955, Igx = 6.68182"
"x= 6.72727, f(x) = 6.79523, t(x) = 4.77983, Yintra = 4.40531, Yextra = 9.18514, Igx = 6.77273"
"x= 6.81818, f(x) = 6.61157, t(x) = 4.62158, Yintra = 4.30078, Yextra = 8.92236, Igx = 6.86364"
"x= 6.90909, f(x) = 6.42057, t(x) = 4.46129, Yintra = 4.18992, Yextra = 8.65121, Igx = 6.95455"
"x= 7, f(x) = 6.22222, t(x) = 4.29896, Yintra = 4.07274, Yextra = 8.3717, Igx = 7.04545"
"x= 7.09091, f(x) = 6.01653, t(x) = 4.1346, Yintra = 3.94923, Yextra = 8.08383, Igx = 7.13636"
"x= 7.18182, f(x) = 5.80349, t(x) = 3.9682, Yintra = 3.81939, Yextra = 7.78759, Igx = 7.22727"
"x= 7.27273, f(x) = 5.5831, t(x) = 3.79977, Yintra = 3.68322, Yextra = 7.48299, Igx = 7.31818"
"x= 7.36364, f(x) = 5.35537, t(x) = 3.62929, Yintra = 3.54073, Yextra = 7.17002, Igx = 7.40909"
"x= 7.45455, f(x) = 5.12029, t(x) = 3.45677, Yintra = 3.39191, Yextra = 6.84868, Igx = 7.5"
"x= 7.54545, f(x) = 4.87787, t(x) = 3.28218, Yintra = 3.23678, Yextra = 6.51896, Igx = 7.59091"
"x= 7.63636, f(x) = 4.6281, t(x) = 3.10552, Yintra = 3.07534, Yextra = 6.18086, Igx = 7.68182"
"x= 7.72727, f(x) = 4.37098, t(x) = 2.92677, Yintra = 2.9076, Yextra = 5.83437, Igx = 7.77273"
"x= 7.81818, f(x) = 4.10652, t(x) = 2.74591, Yintra = 2.73356, Yextra = 5.47948, Igx = 7.86364"
"x= 7.90909, f(x) = 3.83471, t(x) = 2.56292, Yintra = 2.55325, Yextra = 5.11617, Igx = 7.95455"
"x= 8, f(x) = 3.55556, t(x) = 2.37777, Yintra = 2.36667, Yextra = 4.74444, Igx = 8.04545"
"x= 8.09091, f(x) = 3.26905, t(x) = 2.19043, Yintra = 2.17384, Yextra = 4.36427, Igx = 8.13636"
"x= 8.18182, f(x) = 2.97521, t(x) = 2.00088, Yintra = 1.97477, Yextra = 3.97565, Igx = 8.22727"
"x= 8.27273, f(x) = 2.67401, t(x) = 1.80908, Yintra = 1.76947, Yextra = 3.57855, Igx = 8.31818"
"x= 8.36364, f(x) = 2.36547, t(x) = 1.615, Yintra = 1.55797, Yextra = 3.17297, Igx = 8.40909"
"x= 8.45455, f(x) = 2.04959, t(x) = 1.4186, Yintra = 1.34029, Yextra = 2.75889, Igx = 8.5"
"x= 8.54545, f(x) = 1.72635, t(x) = 1.21984, Yintra = 1.11643, Yextra = 2.33627, Igx = 8.59091"
"x= 8.63636, f(x) = 1.39578, t(x) = 1.01867, Yintra = 0.88644, Yextra = 1.90511, Igx = 8.68182"
"x= 8.72727, f(x) = 1.05785, t(x) = 0.815054, Yintra = 0.650324, Yextra = 1.46538, Igx = 8.77273"
"x= 8.81818, f(x) = 0.71258, t(x) = 0.608938, Yintra = 0.408112, Yextra = 1.01705, Igx = 8.86364"
"x= 8.90909, f(x) = 0.359963, t(x) = 0.400271, Yintra = 0.159828, Yextra = 0.560099, Igx = 8.95455"
