"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 1, f(x) = 0.32, t(x) = 0.656104, Yintra = -0.00805179, Yextra = 0.648052, Igx = 0.0235362"
"x= 2, f(x) = 0.56, t(x) = 0.789502, Yintra = 0.165249, Yextra = 0.954751, Igx = 0.041009"
"x= 3, f(x) = 0.72, t(x) = 0.806964, Yintra = 0.316518, Yextra = 1.12348, Igx = 0.0437906"
"x= 4, f(x) = 0.8, t(x) = 0.75719, Yintra = 0.421405, Yextra = 1.17859, Igx = 0.0361771"
"x= 5, f(x) = 0.8, t(x) = 0.663042, Yintra = 0.468479, Yextra = 1.13152, Igx = 0.0242908"
"x= 6, f(x) = 0.72, t(x) = 0.537344, Yintra = 0.451328, Yextra = 0.988672, Igx = 0.0129294"
"x= 7, f(x) = 0.56, t(x) = 0.386906, Yintra = 0.366547, Yextra = 0.753453, Igx = 0.00482655"
"x= 8, f(x) = 0.32, t(x) = 0.213999, Yintra = 0.213001, Yextra = 0.426999, Igx = 0.000816683"
"x= 9, f(x) = 0, t(x) = 0.01701, Yintra = -0.008505, Yextra = 0.008505, Igx = 0.00000041014"
