"x= 4.5, f(x) = 4.5, t(x) = 3.16031, Yintra = 2.91985, Yextra = 6.08015, Igx = 4.55"
"x= 4.6, f(x) = 4.29333, t(x) = 2.98494, Yintra = 2.80086, Yextra = 5.7858, Igx = 4.65"
"x= 4.7, f(x) = 4.07333, t(x) = 2.80588, Yintra = 2.6704, Yextra = 5.47627, Igx = 4.75"
"x= 4.8, f(x) = 3.84, t(x) = 2.62312, Yintra = 2.52844, Yextra = 5.15156, Igx = 4.85"
"x= 4.9, f(x) = 3.59333, t(x) = 2.43666, Yintra = 2.375, Yextra = 4.81166, Igx = 4.95"
"x= 5, f(x) = 3.33333, t(x) = 2.24649, Yintra = 2.21009, Yextra = 4.45658, Igx = 5.05"
"x= 5.1, f(x) = 3.06, t(x) = 2.05256, Yintra = 2.03372, Yextra = 4.08628, Igx = 5.15"
"x= 5.2, f(x) = 2.77333, t(x) = 1.85484, Yintra = 1.84592, Yextra = 3.70075, Igx = 5.25"
"x= 5.3, f(x) = 2.47333, t(x) = 1.65325, Yintra = 1.64671, Yextra = 3.29996, Igx = 5.35"
"x= 5.4, f(x) = 2.16, t(x) = 1.44772, Yintra = 1.43614, Yextra = 2.88386, Igx = 5.45"
"x= 5.5, f(x) = 1.83333, t(x) = 1.23816, Yintra = 1.21425, Yextra = 2.45241, Igx = 5.55"
"x= 5.6, f(x) = 1.49333, t(x) = 1.02448, Yintra = 0.981092, Yextra = 2.00557, Igx = 5.65"
"x= 5.7, f(x) = 1.14, t(x) = 0.806559, Yintra = 0.73672, Yextra = 1.54328, Igx = 5.75"
"x= 5.8, f(x) = 0.773333, t(x) = 0.584267, Yintra = 0.4812, Yextra = 1.06547, Igx = 5.85"
"x= 5.9, f(x) = 0.393333, t(x) = 0.357465, Yintra = 0.214601, Yextra = 0.572066, Igx = 5.95"
"x= 6, f(x) = 0.0000000000000213163, t(x) = 0.126, Yintra = -0.063, Yextra = 0.063, Igx = 6.05"
"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.05"
