"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 1, f(x) = 3.33333, t(x) = 5.50081, Yintra = 0.582929, Yextra = 6.08374, Igx = 1.5"
"x= 2, f(x) = 5.33333, t(x) = 5.97751, Yintra = 2.34458, Yextra = 8.32209, Igx = 2.5"
"x= 3, f(x) = 6, t(x) = 5.29403, Yintra = 3.35299, Yextra = 8.64701, Igx = 3.5"
"x= 4, f(x) = 5.33333, t(x) = 3.98033, Yintra = 3.34317, Yextra = 7.3235, Igx = 4.5"
"x= 5, f(x) = 3.33333, t(x) = 2.24649, Yintra = 2.21009, Yextra = 4.45658, Igx = 5.5"
"x= 6, f(x) = 0, t(x) = 0.126, Yintra = -0.063, Yextra = 0.063, Igx = 6.5"
